DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
1767.00	 99.77
1768.00	 99.77
1769.00	 99.77
1770.00	 99.78
1771.00	 99.79
1772.00	 99.80
1773.00	 99.83
1774.00	 99.84
1775.00	 99.85
1776.00	 99.86
1777.00	 99.86
1778.00	 99.85
1779.00	 99.85
1780.00	 99.84
1781.00	 99.83
1782.00	 99.83
1783.00	 99.83
1784.00	 99.84
1785.00	 99.84
1786.00	 99.84
1787.00	 99.84
1788.00	 99.84
1789.00	 99.84
1790.00	 99.84
1791.00	 99.84
1792.00	 99.85
1793.00	 99.85
1794.00	 99.85
1795.00	 99.85
1796.00	 99.84
1797.00	 99.83
1798.00	 99.83
1799.00	 99.82
1800.00	 99.82
1801.00	 99.81
1802.00	 99.82
1803.00	 99.84
1804.00	 99.86
1805.00	 99.87
1806.00	 99.88
1807.00	 99.89
1808.00	 99.89
1809.00	 99.89
1810.00	 99.90
1811.00	 99.90
1812.00	 99.90
1813.00	 99.91
1814.00	 99.92
1815.00	 99.93
1816.00	 99.93
1817.00	 99.92
1818.00	 99.91
1819.00	 99.90
1820.00	 99.88
1821.00	 99.88
1822.00	 99.87
1823.00	 99.87
1824.00	 99.86
1825.00	 99.86
1826.00	 99.86
1827.00	 99.87
1828.00	 99.87
1829.00	 99.88
1830.00	 99.88
1831.00	 99.88
1832.00	 99.87
1833.00	 99.87
1834.00	 99.88
1835.00	 99.89
1836.00	 99.89
1837.00	 99.89
1838.00	 99.89
1839.00	 99.88
1840.00	 99.87
1841.00	 99.86
1842.00	 99.85
1843.00	 99.84
1844.00	 99.84
1845.00	 99.85
1846.00	 99.85
1847.00	 99.86
1848.00	 99.87
1849.00	 99.87
1850.00	 99.87
1851.00	 99.87
1852.00	 99.86
1853.00	 99.85
1854.00	 99.86
1855.00	 99.87
1856.00	 99.88
1857.00	 99.90
1858.00	 99.92
1859.00	 99.92
1860.00	 99.92
1861.00	 99.92
1862.00	 99.92
1863.00	 99.92
1864.00	 99.93
1865.00	 99.94
1866.00	 99.94
1867.00	 99.93
1868.00	 99.92
1869.00	 99.90
1870.00	 99.90
1871.00	 99.89
1872.00	 99.88
1873.00	 99.88
1874.00	 99.89
1875.00	 99.89
1876.00	 99.89
1877.00	 99.90
1878.00	 99.91
1879.00	 99.91
1880.00	 99.91
1881.00	 99.90
1882.00	 99.88
1883.00	 99.88
1884.00	 99.88
1885.00	 99.89
1886.00	 99.90
1887.00	 99.90
1888.00	 99.90
1889.00	 99.89
1890.00	 99.88
1891.00	 99.89
1892.00	 99.90
1893.00	 99.91
1894.00	 99.91
1895.00	 99.90
1896.00	 99.89
1897.00	 99.88
1898.00	 99.89
1899.00	 99.89
1900.00	 99.90
1901.00	 99.90
1902.00	 99.90
1903.00	 99.90
1904.00	 99.90
1905.00	 99.91
1906.00	 99.93
1907.00	 99.95
1908.00	 99.96
1909.00	 99.96
1910.00	 99.95
1911.00	 99.93
1912.00	 99.90
1913.00	 99.89
1914.00	 99.88
1915.00	 99.89
1916.00	 99.89
1917.00	 99.90
1918.00	 99.92
1919.00	 99.93
1920.00	 99.95
1921.00	 99.96
1922.00	 99.97
1923.00	 99.98
1924.00	 99.98
1925.00	 99.98
1926.00	 99.99
1927.00	 99.99
1928.00	 99.99
1929.00	 99.99
1930.00	 99.98
1931.00	 99.97
1932.00	 99.94
1933.00	 99.91
1934.00	 99.89
1935.00	 99.88
1936.00	 99.89
1937.00	 99.91
1938.00	 99.94
1939.00	 99.97
1940.00	 99.99
1941.00	 99.99
1942.00	 99.98
1943.00	 99.97
1944.00	 99.98
1945.00	 99.97
1946.00	 99.96
1947.00	 99.95
1948.00	 99.94
1949.00	 99.96
1950.00	 99.99
1951.00	 100.01
1952.00	 100.01
1953.00	 100.01
1954.00	 100.02
1955.00	 100.04
1956.00	 100.05
1957.00	 100.04
1958.00	 100.01
1959.00	 99.96
1960.00	 99.93
1961.00	 99.92
1962.00	 99.94
1963.00	 99.97
1964.00	 99.99
1965.00	 100.00
1966.00	 99.99
